Nodes	expA	expR	expN	expD	expC	expQ	expE	expG	expH	expI	expL	expK	expM	expF	expP	expS	expT	expW	expY	expV	ebA	ebR	ebN	ebD	ebC	ebQ	ebE	ebG	ebH	ebI	ebL	ebK	ebM	ebF	ebP	ebS	ebT	ebW	ebY	ebV
20	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0540352	0.0405749	0.0646567	0.0815006	0.0312386	0.0113406	0.051599	0.101717	0.0209367	0.070437	0.109351	0.0534267	0.0111896	0.0476592	0.0380943	0.0693567	0.0429505	0.012887	0.022716	0.0643331
21	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0548939	0.0375258	0.0736138	0.0807728	0.0320969	0.0183168	0.040237	0.101748	0.0217872	0.0744471	0.107809	0.054129	0.0118608	0.047749	0.0381302	0.0612877	0.0477704	0.0128653	0.022687	0.0602717
22	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.05488	0.038257	0.0739648	0.0801839	0.0320195	0.0188464	0.0401245	0.101778	0.0224905	0.0751365	0.107929	0.0527062	0.0118014	0.0459184	0.0381379	0.0634814	0.046411	0.0128646	0.0227431	0.060325
23	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0590957	0.0497203	0.061662	0.0660283	0.0321429	0.0283658	0.0403047	0.108085	0.0261078	0.0795278	0.108224	0.039525	0.0200241	0.0352402	0.0470605	0.0657196	0.0506443	0.0127312	0.022374	0.0474166
24	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0592354	0.0494678	0.0614897	0.0651285	0.032134	0.0307216	0.0395928	0.108684	0.0234272	0.0779378	0.109012	0.0395064	0.0200621	0.0351658	0.0478749	0.066239	0.051184	0.0127248	0.0223739	0.0480374
25	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0646645	0.0511192	0.0590386	0.0688155	0.0322172	0.0277253	0.0392087	0.108999	0.022929	0.0773123	0.109002	0.0383553	0.0207798	0.0326499	0.048313	0.0673885	0.0514626	0.0127057	0.0223368	0.0449778
26	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.17551	0.179592	0.159184	0.171429	0.146939	0.142857	0.15102	0.220408	0.134694	0.155102	0.232653	0.122449	0.126531	0.142857	0.159184	0.155102	0.155102	0.126531	0.130612	0.183673
27	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.179592	0.179592	0.159184	0.171429	0.146939	0.142857	0.15102	0.220408	0.134694	0.155102	0.232653	0.122449	0.126531	0.142857	0.159184	0.15102	0.155102	0.126531	0.130612	0.183673
28	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.074628	0.0687642	0.0492011	0.0613993	0.0362457	0.0317732	0.0439204	0.115861	0.0255743	0.0463059	0.125454	0.0123655	0.0188542	0.0310018	0.0508368	0.0511343	0.0483017	0.012714	0.0182686	0.0773969
29	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.076551	0.0611176	0.0480963	0.065349	0.0325269	0.0312786	0.0429838	0.114431	0.0220413	0.0507108	0.120304	0.021069	0.0164525	0.0307969	0.0544969	0.0565589	0.0546394	0.0126429	0.0221349	0.0658184
30	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.195918	0.183673	0.142857	0.187755	0.15102	0.134694	0.142857	0.208163	0.134694	0.15102	0.22449	0.126531	0.122449	0.146939	0.163265	0.167347	0.159184	0.126531	0.130612	0.171429
