Nodes	expA	expR	expN	expD	expC	expQ	expE	expG	expH	expI	expL	expK	expM	expF	expP	expS	expT	expW	expY	expV	ebA	ebR	ebN	ebD	ebC	ebQ	ebE	ebG	ebH	ebI	ebL	ebK	ebM	ebF	ebP	ebS	ebT	ebW	ebY	ebV
45	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0645195	0.0518026	0.0616776	0.0576849	0.0223865	0.0444364	0.0551213	0.100955	0.0262357	0.0749454	0.0954391	0.0220305	0.0273657	0.0336524	0.0544729	0.0525158	0.0536839	0.00829231	0.0252774	0.0675046
46	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.155102	0.138776	0.134694	0.146939	0.102041	0.126531	0.118367	0.179592	0.114286	0.155102	0.171429	0.102041	0.106122	0.126531	0.122449	0.126531	0.15102	0.0938776	0.106122	0.15102
47	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.130612	0.122449	0.134694	0.118367	0.0979592	0.110204	0.126531	0.167347	0.0857143	0.126531	0.159184	0.0979592	0.0897959	0.106122	0.114286	0.106122	0.114286	0.077551	0.0979592	0.134694
48	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.122449	0.118367	0.134694	0.126531	0.0816327	0.110204	0.0979592	0.171429	0.0857143	0.122449	0.134694	0.077551	0.0897959	0.0979592	0.102041	0.0857143	0.0979592	0.0693878	0.0897959	0.146939
49	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0680383	0.0551545	0.0697963	0.057844	0.0241314	0.0437806	0.0508424	0.105671	0.0259089	0.0684974	0.0862341	0.0232209	0.0291834	0.0381322	0.045948	0.0457276	0.046543	0.00830854	0.0254193	0.081618
50	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0685125	0.054176	0.0636451	0.0589216	0.0232883	0.0475279	0.0509819	0.104626	0.0260167	0.0699161	0.092285	0.0228538	0.0287157	0.0340511	0.0457556	0.0468015	0.0515803	0.0082952	0.0253548	0.076695
51	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0650885	0.0501536	0.0622543	0.0580435	0.0225885	0.048594	0.0536516	0.102187	0.0259624	0.071406	0.0935964	0.0219965	0.0285525	0.033823	0.054421	0.0509783	0.0511991	0.00828267	0.0252842	0.0719367
52	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0660058	0.04865	0.0601281	0.0561201	0.0225503	0.0455908	0.0493727	0.106332	0.0258854	0.0670662	0.0953402	0.0228292	0.0312239	0.03474	0.0560827	0.0519032	0.0482225	0.00927336	0.0255489	0.0771351
53	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0641456	0.0502377	0.0597774	0.0551275	0.0252233	0.04652	0.0475354	0.109939	0.025947	0.0647546	0.0957229	0.0220069	0.0288581	0.0346102	0.0567225	0.0505525	0.044918	0.0120602	0.0255753	0.0797655
54	0.079066	0.055941	0.041977	0.053052	0.012937	0.040767	0.071586	0.057337	0.022355	0.062157	0.099081	0.0646	0.022951	0.042302	0.04404	0.061197	0.053286	0.012066	0.034155	0.069147	0.0643056	0.0482798	0.0614169	0.0554815	0.0289966	0.0474432	0.046674	0.107439	0.0260401	0.0642771	0.0958459	0.0212617	0.0288309	0.0345689	0.0571865	0.0485127	0.0445773	0.0120342	0.0253667	0.0814613
